Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,México,MEX,165429000000,1498553751318.49,4956275583767.52,5366634527970,6020968846000,6754859008600,7588052757340,8439789279220,8822023710873.73,9236663552931.68,10478072481817.2,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Argentina,ARG,7913000000,90514975371.93,714733699000,908291162000,1179231215000,1645874946000,2329711615000,3030589910000,..,..,..,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Antigua y Barbuda,ATG,622407000,1761551092,3142015482.32811,3184231728.33949,3228532029.5246,3416327000,3373790000,3618290000,3879113444.36,3861705720,3524983062.2,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Bahamas,BHS,1227100000,3466400000,6244400000,6298400000,6328700000,6314200000,6862900000,6953862534.85,..,..,..,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Barbados,BRB,2062400000,3992950000,9466466873.34966,9822284358.88584,10133477196.7794,10753812777.1629,11200405794.3411,11336496839.8358,11315114849.3434,..,..,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Belice,BLZ,330795000,900043000,2443513569.86,2476573155.37,2672056882.09,2874104493.9,2950241797.18,2939370538.43,3017319525.93,3157361404.96,3533801970.84,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Brasil,BRA,3510200,557416988442.691,3806205579437.29,4192066895716.4,4733341838290.39,5280467285252.22,5881954871034.07,6128417656764.42,6563793038777.81,7097840403324.25,8306196030728.17,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Colombia,COL,5795270000000,53842705388640,284906953722055,324038336432888,353820365189387,394230174894183,422561794745971,451252773317049,474299046829809,516282375920359,581893303369813,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Costa Rica,CRI,223895000000,853911228554.06,11726464808221.2,12854453478664.3,14688602290853.4,15280379429230.2,15751944153322.3,15995713033914.2,16341086190170.1,17001122489930.3,20023406059595,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Chile,CHL,3768172000000,21775290788000,100893047982247,112740785462243,122597170621813,133816655723051,140376103903487,141156624671132,147053993886868,164937184546679,188136644376718,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Dominica,DMA,272139000,538368106,1261634218.06925,1300022830.45315,1364628556.70985,1412675000,1499080000,1757020000,1784536393.97,1574243690,1389111828.4,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Ecuador,ECU,2120440255.06718,3794460000,32975183886,37577439203,43191756733,41107061552,48437875254,38745337920,40557270730,44148605459,48545077540,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,El Salvador,SLV,1385242839.35243,6047975342.59873,10692452307.93,10950204144.02,10984504536.6543,11745138707.71,12103067182.85,13449063524.24,14265242883.35,15877952816.67,17286700990.75,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Granada,GRD,362507000,1097664274,1974488846.87335,2048862191.96731,2175192281.5073,2334479000,2439110000,2514510000,2747007125.97,2691253860,2658779445.16,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Guatemala,GTM,7291000000,34822100000,181824716923.466,199182750787.705,214867824047.027,234399381029.761,249282775331.802,267488626019.35,293302998073.753,318967322280.943,376591474999.398,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Guyana,GUY,11863911000,99894140844,390228437676.7,412335202665.81,427204287857.73,442891855042.07,466937041556.18,463707751457.49,491448278342.63,562117410299.91,643638452561.69,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Haití,HTI,4673700000,29073020000,150585390783.747,161978856938.135,174514910734.754,215990294180.617,257284413776.626,279149037573.988,332623992956.756,378298676437.065,394275910612.86,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Honduras,HND,4251400000,42945411374.76,184622468167.223,199890634855.019,226358041462.263,244036240354.135,282490212608.733,318557998977.573,342044041305.249,381743124806.175,451904590228.955,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Jamaica,JAM,20438248000,155937220000,573738157000,647270725000,690943468000,783508949000,888742328156.87,992867126936.44,1090525662053.12,1192442396915.05,1410391259463.35,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Nicaragua,NIC,89513540,19512416576.66,83156187340.4318,98389820075.7502,113572110034.917,135107620765.616,150029123578.606,174061594888.683,141593058220.783,150416582786.14,173923377504.326,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Panamá,PAN,2263200000,9365085566,..,..,..,..,..,..,..,..,..,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Paraguay,PRY,1458582000000,6905678122000,50155795129650.5,60657004202672.6,69755258287222.9,78964741464129.6,84769035551469.1,93806807286169.9,101388626309090,111080498199773,131856819265137,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Perú,PER,1315506800,59887226000,207604262281.558,241815337172.558,256965432168.288,291365567819.657,299396002364.729,327332385831.956,345117252654.188,373825403075.344,..,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,República Dominicana,DOM,17527810000,114160290000,795880492623.42,890992785332.42,973565746553.07,1091477365948.37,1197920790530.68,1314243666880.52,1401469234355.51,1565004664249.03,1905406268098.16,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,San Vicente y las Granadinas,VCT,392309000,850571766,1320131303.61768,1409187845.95447,1531777665.92969,1595581000,1625580000,1648260000,1668682415.17,1758813340,1643467313.7,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Santa Lucía,LCA,765456000,1488536980,3204350619.43144,3300174303.87324,3393617964.17244,3577491000,3613380000,3717260000,3901634655.8,3576173280,3122368804,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Suriname,SUR,3744930,447945448.157,8127824124.8425,9027389925.685,9519457084.57384,10638421192.9477,16192479869.8517,17600445406.9182,19195848404.0309,20288949037.6752,32879114248.614,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Trinidad y Tobago,TTO,9661600000,23563884047,92585559304.02,95555165595.56,102430374018.47,103590733519.2,106480500623.95,106096684430.34,107341696896.14,110436526508.5,118304984574.8,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Uruguay,URY,6072859000,119409582247.06,442407348009.86,527303028214.822,629264256965.136,779139704512.52,809877460435.42,825351131088.1,923074265316.96,1070147183269.55,1330476387231.69,..
Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,Venezuela,VEN,684806000,15805226015.0277,747904937485.82,1187995168358.76,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from Database: Indicadores del desarrollo mundial,,,,,,,,,,,,,,,
Last Updated: 05/25/2022,,,,,,,,,,,,,,,
